id,isHigherBetter,metricName,metricValue,createdAt,updatedAt,deletedAt,userId,submissionMethodRefId,submissionTaskRefId,evaluatedAt,notes,standardError,sampleSize,submissionPlatformRefId,qubitCount,circuitDepth,shots,submissionDataSetRefId
1750,f,Toffoli count,1.733085723671708e+157,2024-03-05 15:15:57.37+00,2024-03-05 15:15:57.37+00,,19,1042,1081,2022-09-27,"k=32, n=1048576",,,,,,,
1749,f,Toffoli count,4.033246320765524e+147,2024-03-05 15:15:45.285+00,2024-03-05 15:15:45.285+00,,19,1042,1081,2022-09-27,"k=32, n=524288",,,,,,,
1748,f,Toffoli count,9.381753075466702e+137,2024-03-05 15:15:33.673+00,2024-03-05 15:15:33.673+00,,19,1042,1081,2022-09-27,"k=32, n=262144",,,,,,,
1747,f,Toffoli count,2.180230014313224e+128,2024-03-05 15:15:21.442+00,2024-03-05 15:15:21.442+00,,19,1042,1081,2022-09-27,"k=32, n=131072",,,,,,,
1746,f,Toffoli count,5.057065857402561e+118,2024-03-05 15:15:08.974+00,2024-03-05 15:15:08.974+00,,19,1042,1081,2022-09-27,"k=32, n=65536",,,,,,,
1745,f,Toffoli count,2.679848788824798e+99,2024-03-05 15:14:56.967+00,2024-03-05 15:14:56.967+00,,19,1042,1081,2022-09-27,"k=32, n=16384",,,,,,,
1744,f,Toffoli count,1.1685579939783203e+109,2024-03-05 15:14:42.353+00,2024-03-05 15:14:42.353+00,,19,1042,1081,2022-09-27,"k=32, n=32768",,,,,,,
1743,f,Toffoli count,6.053095236734529e+89,2024-03-05 15:14:28.85+00,2024-03-05 15:14:28.85+00,,19,1042,1081,2022-09-27,"k=32, n=8192",,,,,,,
1742,f,Toffoli count,1.32623628475831e+80,2024-03-05 15:14:14.571+00,2024-03-05 15:14:14.571+00,,19,1042,1081,2022-09-27,"k=32, n=4096",,,,,,,
1741,f,Toffoli count,1.32623628475831e+80,2024-03-05 15:14:00.972+00,2024-03-05 15:14:00.972+00,,19,1042,1081,2022-09-27,"k=32, n=4096",,,,,,,
1740,f,Toffoli count,2.733144483411872e+70,2024-03-05 15:13:45.065+00,2024-03-05 15:13:45.065+00,,19,1042,1081,2022-09-27,"k=32, n=2048",,,,,,,
1739,f,Toffoli count,4.975934516475092e+60,2024-03-05 15:13:34.457+00,2024-03-05 15:13:34.457+00,,19,1042,1081,2022-09-27,"k=32, n=1024",,,,,,,
1738,f,Toffoli count,7.028142536559382e+50,2024-03-05 15:13:24.507+00,2024-03-05 15:13:24.507+00,,19,1042,1081,2022-09-27,"k=32, n=512",,,,,,,
1737,f,Toffoli count,5.824459402923075e+40,2024-03-05 15:13:15.954+00,2024-03-05 15:13:15.954+00,,19,1042,1081,2022-09-27,"k=32, n=256",,,,,,,
1736,f,Toffoli count,1.4778069215022808e+30,2024-03-05 15:13:07.371+00,2024-03-05 15:13:07.371+00,,19,1042,1081,2022-09-27,"k=32, n=128",,,,,,,
1735,f,Toffoli count,1.8326241409425905e+18,2024-03-05 15:12:58.188+00,2024-03-05 15:12:58.188+00,,19,1042,1081,2022-09-27,"k=32, n=64",,,,,,,
1734,f,Toffoli count,1.5573982593804497e+78,2024-03-05 15:12:40.716+00,2024-03-05 15:12:40.716+00,,19,1042,1081,2022-09-27,"k=16, n=524288",,,,,,,
1733,f,Toffoli count,2.3758572837246226e+73,2024-03-05 15:12:28.349+00,2024-03-05 15:12:28.349+00,,19,1042,1081,2022-09-27,"k=16, n=262144",,,,,,,
1732,f,Toffoli count,3.623611278043943e+68,2024-03-05 15:12:14.182+00,2024-03-05 15:12:14.182+00,,19,1042,1081,2022-09-27,"k=16, n=131072",,,,,,,
1731,f,Toffoli count,5.524131605530658e+63,2024-03-05 15:11:57.655+00,2024-03-05 15:11:57.655+00,,19,1042,1081,2022-09-27,"k=16, n=65536",,,,,,,
1730,f,Toffoli count,5.524131605530658e+63,2024-03-05 15:09:12.411+00,2024-03-05 15:09:12.411+00,,19,1042,1081,2022-09-27,"k=16, n=65536",,,,,,,
1729,f,Toffoli count,8.413732123974806e+58,2024-03-05 15:08:58.692+00,2024-03-05 15:08:58.692+00,,19,1042,1081,2022-09-27,"k=16, n=32768",,,,,,,
1728,f,Toffoli count,1.2791384791344545e+54,2024-03-05 15:08:46.507+00,2024-03-05 15:08:46.507+00,,19,1042,1081,2022-09-27,"k=16, n=16384",,,,,,,
1727,f,Toffoli count,1.937553720786852e+49,2024-03-05 15:08:32.865+00,2024-03-05 15:08:32.865+00,,19,1042,1081,2022-09-27,"k=16, n=8192",,,,,,,
1726,f,Toffoli count,2.9133993758634907e+44,2024-03-05 15:06:16.845+00,2024-03-05 15:06:16.845+00,,19,1042,1081,2022-09-27,"k=16, n=4096",,,,,,,
1725,f,Toffoli count,4.3166641429934056e+39,2024-03-05 15:06:07.515+00,2024-03-05 15:06:07.515+00,,19,1042,1081,2022-09-27,"k=16, n=2048",,,,,,,
1724,f,Toffoli count,6.209077488489386e+34,2024-03-05 15:05:55.502+00,2024-03-05 15:05:55.502+00,,19,1042,1081,2022-09-27,"k=16, n=1024",,,,,,,
1723,f,Toffoli count,8.41141456821158e+29,2024-03-05 15:05:46.172+00,2024-03-05 15:05:46.172+00,,19,1042,1081,2022-09-27,"k=16, n=512",,,,,,,
1722,f,Toffoli count,1.0078751602022314e+25,2024-03-05 15:05:34.397+00,2024-03-05 15:05:34.397+00,,19,1042,1081,2022-09-27,"k=16, n=256",,,,,,,
1721,f,Toffoli count,9.334302120126218e+19,2024-03-05 15:05:24.205+00,2024-03-05 15:05:24.205+00,,19,1042,1081,2022-09-27,"k=16, n=128",,,,,,,
1720,f,Toffoli count,488526937079580,2024-03-05 15:05:12.764+00,2024-03-05 15:05:12.764+00,,19,1042,1081,2022-09-27,"k=16, n=64",,,,,,,
1719,f,Toffoli count,601080390,2024-03-05 15:05:03.082+00,2024-03-05 15:05:03.082+00,,19,1042,1081,2022-09-27,"k=16, n=32",,,,,,,
