key,name,submissionId,platformName,provider,methodName,metricName,metricValue,qubitCount,circuitDepth,tableDate,arXiv
57,Validating quantum computers using randomized model circuits,42,ibmq-tokyo,ibmq,Heavy bit string sampling,Quantum volume,16,,,10/11/2019,1811.12926
61,A quantum-classical cloud platform optimized for variational hybrid algorithms,44,Rigetti Aspen-4,rigetti,Rigetti Aspen-4,Quantum volume,8,,,5/31/2020
60,Demonstration of the trapped-ion quantum-CCD computer architecture,43,Honeywell System Model H0,honeywell,Heavy bit string sampling,Quantum volume,64,,,6/20/2020,2003.01293
59,Demonstration of quantum volume 64 on a superconducting quantum computing system,41,ibmq-montreal,ibmq,ibmq-montreal,Quantum volume,64,,,9/4/2020
270,Achieving Quantum Volume 128 on the Honeywell Quantum Computer,182,Quantinuum System Model H1-1,quantinuum,Heavy bit string sampling,Quantum volume,128,,,9/29/2020
271,Honeywell Sets New Record For Quantum Computing Performance,181,Quantinuum System Model H1-1,quantinuum,Heavy bit string sampling,Quantum volume,512,,,3/2/2021
307,"Re-examining the quantum volume test: Ideal distributions, compiler optimizations, confidence intervals, and scalable resource estimations",46,Quantinuum System Model H1-1,quantinuum,Heavy bit string sampling,Quantum volume,1024,,,10/27/2021
272,"Demonstrating Benefits of Quantum Upgradable Design Strategy: System Model H1-2 First to Prove 2,048 Quantum Volume",179,Quantinuum System Model H1-2,quantinuum,Heavy bit string sampling,Quantum volume,2048,,,12/17/2021
173,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-hanoi,ibmq,Quantum volume,Quantum volume,32,,,3/8/2022
165,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-lagos,ibmq,Quantum volume,Quantum volume,32,,,3/8/2022
170,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-washington,ibmq,Quantum volume,Quantum volume,16,,,3/8/2022
164,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-casablanca,ibmq,Quantum volume,Quantum volume,16,,,3/8/2022
167,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-sydney,ibmq,Quantum volume,Quantum volume,16,,,3/8/2022
159,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-quito,ibmq,Quantum volume,Quantum volume,16,,,3/8/2022
168,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-toronto,ibmq,Quantum volume,Quantum volume,16,,,3/8/2022
171,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-auckland,ibmq,Quantum volume,Quantum volume,16,,,3/8/2022
174,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-mumbai,ibmq,Quantum volume,Quantum volume,16,,,3/8/2022
160,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-jakarta,ibmq,Quantum volume,Quantum volume,8,,,3/8/2022
163,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-perth,ibmq,Quantum volume,Quantum volume,8,,,3/8/2022
166,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-guadalupe,ibmq,Quantum volume,Quantum volume,32,,,3/8/2022
169,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-brooklyn,ibmq,Quantum volume,Quantum volume,32,,,3/8/2022
175,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-montreal,ibmq,Quantum volume,Quantum volume,32,,,3/8/2022
172,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-cairo,ibmq,Quantum volume,Quantum volume,16,,,3/8/2022
157,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-lima,ibmq,Quantum volume,Quantum volume,8,,,3/8/2022
162,Quantum Volume in Practice: What Users Can Expect from NISQ Devices,123,ibmq-bogota,ibmq,Quantum volume,Quantum volume,8,,,3/8/2022
